timestamp_ns,activated,going_to_position,status,object_status,fault,position_request_echo,position,current_raw,current_a,link_up,timestamp_ns
1777872445167243848,true,false,3,0,0,0,3,0,0.0,true,1777872445152362252
1777872445267205787,true,false,3,0,0,0,3,0,0.0,true,1777872445253358453
1777872445367196208,true,false,3,0,0,0,3,0,0.0,true,1777872445352822113
1777872445467182888,true,false,3,0,0,0,3,0,0.0,true,1777872445452574033
1777872445567206271,true,false,3,0,0,0,3,0,0.0,true,1777872445553382789
1777872445667208266,true,false,3,0,0,0,3,0,0.0,true,1777872445653367339
1777872445767202297,true,false,3,0,0,0,3,0,0.0,true,1777872445752859166
1777872445867207625,true,false,3,0,0,0,3,0,0.0,true,1777872445852664660
1777872445967202527,true,false,3,0,0,0,3,0,0.0,true,1777872445953436953
1777872446067205670,true,false,3,0,0,0,3,0,0.0,true,1777872446053143706
1777872446167207628,true,false,3,0,0,0,3,0,0.0,true,1777872446152895774
1777872446267212474,true,false,3,0,0,0,3,0,0.0,true,1777872446253649270
1777872446367220987,true,false,3,0,0,0,3,0,0.0,true,1777872446353427468
1777872446467221741,true,false,3,0,0,0,3,0,0.0,true,1777872446453167721
1777872446567224273,true,false,3,0,0,0,3,0,0.0,true,1777872446553930755
1777872446666870100,true,false,3,0,0,0,3,0,0.0,true,1777872446653375267
1777872446767274651,true,false,3,0,0,0,3,0,0.0,true,1777872446752445444
1777872446867237182,true,false,3,0,0,0,3,0,0.0,true,1777872446852378383
1777872446967204232,true,false,3,0,0,0,3,0,0.0,true,1777872446954382957
1777872447067216079,true,false,3,0,0,0,3,0,0.0,true,1777872447053375949
1777872447166961388,true,false,3,0,0,0,3,0,0.0,true,1777872447152478793
1777872447267229494,true,false,3,0,0,0,3,0,0.0,true,1777872447253384160
1777872447367215044,true,false,3,0,0,0,3,0,0.0,true,1777872447353387025
1777872447467225242,true,false,3,0,0,0,3,0,0.0,true,1777872447452772110
1777872447567216756,true,false,3,0,0,0,3,0,0.0,true,1777872447552390548
1777872447666825638,true,false,3,0,0,0,3,0,0.0,true,1777872447653407138
1777872447767219782,true,false,3,0,0,0,3,0,0.0,true,1777872447753393948
1777872447867213091,true,false,3,0,0,0,3,0,0.0,true,1777872447852798793
1777872447967227512,true,false,3,0,0,0,3,0,0.0,true,1777872447953554974
1777872448067244747,true,false,3,0,0,0,3,0,0.0,true,1777872448053398635
1777872448166870185,true,false,3,0,0,0,3,0,0.0,true,1777872448153072240
1777872448267221958,true,false,3,0,0,0,3,0,0.0,true,1777872448253397106
1777872448367302731,true,false,3,0,0,0,3,0,0.0,true,1777872448353398860
1777872448467239651,true,false,3,0,0,0,3,0,0.0,true,1777872448453400540
1777872448567245942,true,false,3,0,0,0,3,0,0.0,true,1777872448552404661
1777872448667480808,true,false,3,0,0,0,3,0,0.0,true,1777872448653398418
1777872448767225931,true,false,3,0,0,0,3,0,0.0,true,1777872448753406875
1777872448867226704,true,false,3,0,0,0,3,0,0.0,true,1777872448852404663
1777872448967227606,true,false,3,0,0,0,3,0,0.0,true,1777872448953411087
1777872449067250526,true,false,3,0,0,0,3,0,0.0,true,1777872449053930397
1777872449167482614,true,false,3,0,0,0,3,0,0.0,true,1777872449152679574
1777872449267236738,true,false,3,0,0,0,3,0,0.0,true,1777872449252465642
1777872449367248177,true,false,3,0,0,0,3,0,0.0,true,1777872449353421139
1777872449467244190,true,false,3,0,0,0,3,0,0.0,true,1777872449453416689
1777872449567241425,true,false,3,0,0,0,3,0,0.0,true,1777872449552721367
1777872449667257920,true,false,3,0,0,0,3,0,0.0,true,1777872449653475308
1777872449767269137,true,false,3,0,0,0,3,0,0.0,true,1777872449753420747
1777872449867250409,true,false,3,0,0,0,3,0,0.0,true,1777872449852994129
1777872449967310830,true,false,3,0,0,0,3,0,0.0,true,1777872449952751512
1777872450067248435,true,false,3,0,0,0,3,0,0.0,true,1777872450053501953
1777872450167268930,true,false,3,0,0,0,3,0,0.0,true,1777872450153423707
1777872450267251276,true,false,3,0,0,0,3,0,0.0,true,1777872450253031997
1777872450367262289,true,false,3,0,0,0,3,0,0.0,true,1777872450353786030
1777872450467256080,true,false,3,0,0,0,3,0,0.0,true,1777872450453426135
1777872450567243130,true,false,3,0,0,0,3,0,0.0,true,1777872450552350867
1777872450667256773,true,false,3,0,0,0,3,0,0.0,true,1777872450652432751
1777872450767250842,true,false,3,0,0,0,3,0,0.0,true,1777872450753301267
1777872450867259059,true,false,3,0,0,0,3,0,0.0,true,1777872450852589148
1777872450967260368,true,false,3,0,0,0,3,0,0.0,true,1777872450952365068
1777872451067262677,true,false,3,0,0,0,3,0,0.0,true,1777872451053312899
1777872451167261450,true,false,3,0,0,0,3,0,0.0,true,1777872451153312486
1777872451267244981,true,false,3,0,0,0,3,0,0.0,true,1777872451252638053
1777872451367271309,true,false,3,0,0,0,3,0,0.0,true,1777872451353392253
1777872451467259915,true,false,3,0,0,0,3,0,0.0,true,1777872451453318895
1777872451567331854,true,false,3,0,0,0,3,0,0.0,true,1777872451552927815
1777872451667249700,true,false,3,0,0,0,3,0,0.0,true,1777872451652327456
1777872451767262158,true,false,3,0,0,0,3,0,0.0,true,1777872451753321750
1777872451867280967,true,false,3,0,0,0,3,0,0.0,true,1777872451853326392
1777872451967264332,true,false,3,0,0,0,3,0,0.0,true,1777872451952323495
1777872452067278383,true,false,3,0,0,0,3,0,0.0,true,1777872452053734346
1777872452167276840,true,false,3,0,0,0,3,0,0.0,true,1777872452153485914
1777872452267286261,true,false,3,0,0,0,3,0,0.0,true,1777872452253246408
1777872452367274274,true,false,3,0,0,0,3,0,0.0,true,1777872452353005939
1777872452467265509,true,false,3,0,0,0,3,0,0.0,true,1777872452453777769
1777872452567276152,true,false,3,0,0,0,3,0,0.0,true,1777872452553533337
1777872452667280795,true,false,3,0,0,0,3,0,0.0,true,1777872452653341627
1777872452767287437,true,false,3,0,0,0,3,0,0.0,true,1777872452754055698
1777872452867293173,true,false,3,0,0,0,3,0,0.0,true,1777872452853817951
1777872452967269482,true,false,3,0,0,0,3,0,0.0,true,1777872452952575627
1777872453067275680,true,false,3,0,0,0,3,0,0.0,true,1777872453053395439
1777872453167344805,true,false,3,0,0,0,3,0,0.0,true,1777872453153341692
1777872453267270243,true,false,3,0,0,0,3,0,0.0,true,1777872453252863445
1777872453367278553,true,false,3,0,0,0,3,0,0.0,true,1777872453352624624
1777872453467285548,true,false,3,0,0,0,3,0,0.0,true,1777872453453395862
1777872453567286672,true,false,3,0,0,0,3,0,0.0,true,1777872453553346263
1777872453667294185,true,false,3,0,0,0,3,0,0.0,true,1777872453653348888
1777872453767286087,true,false,3,0,0,0,3,0,0.0,true,1777872453753660587
1777872453867309730,true,false,3,0,0,0,3,0,0.0,true,1777872453853414136
1777872453967294891,true,false,3,0,0,0,3,0,0.0,true,1777872453953352353
1777872454067300478,true,false,3,0,0,0,3,0,0.0,true,1777872454052950272
1777872454167289713,true,false,3,0,0,0,3,0,0.0,true,1777872454153355120
1777872454267280726,true,false,3,0,0,0,3,0,0.0,true,1777872454253349133
1777872454367294610,true,false,3,0,0,0,3,0,0.0,true,1777872454352355773
1777872454467288549,true,false,3,0,0,0,3,0,0.0,true,1777872454453350474
1777872454567296266,true,false,3,0,0,0,3,0,0.0,true,1777872454553366024
1777872454667298909,true,false,3,0,0,0,3,0,0.0,true,1777872454652496535
1777872454767366033,true,false,3,0,0,0,3,0,0.0,true,1777872454752362381
1777872454867302268,true,false,3,0,0,0,3,0,0.0,true,1777872454853362212
1777872454967294226,true,false,3,0,0,0,3,0,0.0,true,1777872454952813353
1777872455067319757,true,false,3,0,0,0,3,0,0.0,true,1777872455052554791
1777872455167296067,true,false,3,0,0,0,3,0,0.0,true,1777872455153366214
1777872455267303895,true,false,3,0,0,0,3,0,0.0,true,1777872455253369338
1777872455367314371,true,false,3,0,0,0,3,0,0.0,true,1777872455352379089
1777872455467304976,true,false,3,0,0,0,3,0,0.0,true,1777872455453579883
1777872455567303693,true,false,3,0,0,0,3,0,0.0,true,1777872455553375822
1777872455667320077,true,false,3,0,0,0,3,0,0.0,true,1777872455653376650
1777872455767301423,true,false,3,0,0,0,3,0,0.0,true,1777872455753375811
